Voltage_measured,Current_measured,Temperature_measured,Current_charge,Voltage_charge,Time,Capacity,id_cycle,type,ambient_temperature,time,PhID
3.974870912,-2.012528324,24.38908513,1.9982,3.062,35.703,1.856487421,1,heater,24,2008,B0005
3.951716708,-2.013979362,24.54475232,1.9982,3.03,53.781,1.856487421,1,heater,24,2008,B0005
3.934352489,-2.011143596,24.7313852,1.9982,3.011,71.922,1.856487421,1,heater,24,2008,B0005
3.920058442,-2.013006628,24.9098164,1.9982,2.991,90.094,1.856487421,1,heater,24,2008,B0005
3.90790351,-2.014399657,25.10588415,1.9982,2.977,108.281,1.856487421,1,heater,24,2008,B0005
3.897035722,-2.011602885,25.31701856,1.9982,2.967,126.453,1.856487421,1,heater,24,2008,B0005
3.887476581,-2.018014688,25.5094231,1.9982,2.959,144.641,1.856487421,1,heater,24,2008,B0005
3.878958592,-2.013134754,25.70360345,1.9982,2.951,162.844,1.856487421,1,heater,24,2008,B0005
3.871015985,-2.013162202,25.88720819,1.9982,2.943,181.016,1.856487421,1,heater,24,2008,B0005
3.863479677,-2.013030234,26.07781486,1.9982,2.935,199.219,1.856487421,1,heater,24,2008,B0005
3.856660507,-2.013710499,26.25431462,1.9982,2.93,217.391,1.856487421,1,heater,24,2008,B0005
3.850013579,-2.014150137,26.43671069,1.9982,2.925,235.594,1.856487421,1,heater,24,2008,B0005
3.843841905,-2.013463983,26.61127891,1.9982,2.925,253.75,1.856487421,1,heater,24,2008,B0005
3.837687976,-2.012645836,26.78134765,1.9982,2.919,271.984,1.856487421,1,heater,24,2008,B0005
3.831938253,-2.013409301,26.95745885,1.9982,2.913,290.141,1.856487421,1,heater,24,2008,B0005
3.826414443,-2.0131455,27.12980014,1.9982,2.907,308.359,1.856487421,1,heater,24,2008,B0005
3.821095734,-2.012041289,27.30582408,1.9982,2.902,326.5,1.856487421,1,heater,24,2008,B0005
3.815896665,-2.014463253,27.46481668,1.9982,2.897,344.75,1.856487421,1,heater,24,2008,B0005
3.810696822,-2.01314003,27.61796452,1.9982,2.892,362.906,1.856487421,1,heater,24,2008,B0005
3.805837381,-2.009226436,27.77547783,1.9982,2.887,381.047,1.856487421,1,heater,24,2008,B0005
3.801121633,-2.01466618,27.93132998,1.9982,2.882,399.187,1.856487421,1,heater,24,2008,B0005
3.796293131,-2.013218329,28.07896948,1.9982,2.877,417.281,1.856487421,1,heater,24,2008,B0005
